layer,deltaw_rel,deltaw_cos,gradA_rel,gradA_cos,gradB_rel,gradB_cos
model.layers.6.self_attn.q_proj,0.008827551268041134,0.9999737739562988,0.0,0.0,0.008142570964992046,0.9999675750732422
model.layers.6.self_attn.k_proj,0.006306122522801161,0.9999806880950928,0.0,0.0,0.005000642035156488,0.9999876618385315
model.layers.6.self_attn.v_proj,0.010722334496676922,0.9999420642852783,0.0,0.0,0.010004354640841484,0.9999511241912842
model.layers.6.self_attn.o_proj,0.009865998290479183,0.9999284148216248,0.0,0.0,0.009084881283342838,0.9999631643295288
model.layers.7.self_attn.q_proj,0.009134838357567787,0.999962329864502,0.0,0.0,0.008016056381165981,0.9999686479568481
model.layers.7.self_attn.k_proj,0.006324812304228544,0.9999786019325256,0.0,0.0,0.005396576598286629,0.9999856352806091
model.layers.7.self_attn.v_proj,0.01169049832969904,0.9999264478683472,0.0,0.0,0.010951591655611992,0.9999412894248962
model.layers.7.self_attn.o_proj,0.009705612435936928,0.9999111890792847,0.0,0.0,0.009051013737916946,0.9999598860740662
model.layers.8.self_attn.q_proj,0.018520604819059372,0.9998232126235962,0.0,0.0,0.01832737773656845,0.9998357892036438
model.layers.8.self_attn.k_proj,0.018731551244854927,0.9998522400856018,0.0,0.0,0.018866512924432755,0.9998472929000854
model.layers.8.self_attn.v_proj,0.010092933662235737,0.9999492764472961,0.0,0.0,0.009374435059726238,0.9999580383300781
model.layers.8.self_attn.o_proj,0.009283301420509815,0.9999204874038696,0.0,0.0,0.008537611924111843,0.9999648332595825
model.layers.9.self_attn.q_proj,0.009874268434941769,1.0000444650650024,0.0,0.0,0.009160156361758709,0.9999601244926453
model.layers.9.self_attn.k_proj,0.010642551816999912,0.9999728798866272,0.0,0.0,0.00962426234036684,0.9999567270278931
model.layers.9.self_attn.v_proj,0.008179014548659325,0.9999696612358093,0.0,0.0,0.007288161665201187,0.9999754428863525
model.layers.9.self_attn.o_proj,0.009312683716416359,0.9999209642410278,0.0,0.0,0.008569296449422836,0.9999642372131348
model.layers.10.self_attn.q_proj,0.011834914796054363,0.9999183416366577,0.0,0.0,0.011169999837875366,0.9999380707740784
model.layers.10.self_attn.k_proj,0.012037670239806175,0.9999666213989258,0.0,0.0,0.011461343616247177,0.9999746680259705
model.layers.10.self_attn.v_proj,0.009498383849859238,0.9999511241912842,0.0,0.0,0.008780328556895256,0.9999629855155945
model.layers.10.self_attn.o_proj,0.008896566927433014,0.9999239444732666,0.0,0.0,0.007999257184565067,0.9999687671661377
model.layers.11.self_attn.q_proj,0.008086214773356915,1.0000591278076172,0.0,0.0,0.007356926798820496,0.9999785423278809
model.layers.11.self_attn.k_proj,0.00892973504960537,1.0000015497207642,0.0,0.0,0.008640743792057037,0.9999639987945557
model.layers.11.self_attn.v_proj,0.0093984454870224,0.9999586343765259,0.0,0.0,0.008548657409846783,0.9999657273292542
model.layers.11.self_attn.o_proj,0.008815971203148365,0.9999312162399292,0.0,0.0,0.008084630593657494,0.999968945980072
model.layers.12.self_attn.q_proj,0.00805503036826849,0.9999626874923706,0.0,0.0,0.00731168407946825,0.9999737739562988
model.layers.12.self_attn.k_proj,0.00846317782998085,0.9999634623527527,0.0,0.0,0.007568445987999439,0.9999747276306152
model.layers.12.self_attn.v_proj,0.008632172830402851,0.9999613165855408,0.0,0.0,0.007697084918618202,0.9999703168869019
model.layers.12.self_attn.o_proj,0.00752665288746357,0.9999260902404785,0.0,0.0,0.0066084167920053005,0.9999788403511047
model.layers.13.self_attn.q_proj,0.009168415330350399,1.0000452995300293,0.0,0.0,0.008396380580961704,0.9999654293060303
model.layers.13.self_attn.k_proj,0.008849527686834335,0.9999658465385437,0.0,0.0,0.008178080432116985,0.9999707937240601
model.layers.13.self_attn.v_proj,0.00907018594443798,0.9999588131904602,0.0,0.0,0.008286173455417156,0.9999658465385437
model.layers.13.self_attn.o_proj,0.008047277107834816,0.9999273419380188,0.0,0.0,0.007002979516983032,0.9999765753746033
model.layers.14.self_attn.q_proj,0.006446432787925005,0.9999653100967407,0.0,0.0,0.005477480590343475,0.9999855756759644
model.layers.14.self_attn.k_proj,0.013835619203746319,0.9999194741249084,0.0,0.0,0.013421187177300453,0.9999264478683472
model.layers.14.self_attn.v_proj,0.008861618116497993,0.9999586343765259,0.0,0.0,0.008073018863797188,0.9999675154685974
model.layers.14.self_attn.o_proj,0.007397814188152552,0.9999378323554993,0.0,0.0,0.006319775246083736,0.9999821782112122
model.layers.15.self_attn.q_proj,0.011784030124545097,0.9999668598175049,0.0,0.0,0.011468249373137951,0.9999474287033081
model.layers.15.self_attn.k_proj,0.012895581312477589,0.9999178647994995,0.0,0.0,0.012136460281908512,0.9999366998672485
model.layers.15.self_attn.v_proj,0.010344643145799637,0.9999462962150574,0.0,0.0,0.009672116488218307,0.9999560713768005
model.layers.15.self_attn.o_proj,0.007376668509095907,0.9999271035194397,0.0,0.0,0.006335646379739046,0.999980628490448
model.layers.16.self_attn.q_proj,0.029258564114570618,0.9995748400688171,0.0,0.0,0.03020397014915943,0.9995484948158264
model.layers.16.self_attn.k_proj,0.02178299054503441,0.9997857213020325,0.0,0.0,0.021175410598516464,0.9997949600219727
model.layers.16.self_attn.v_proj,0.009765888564288616,0.9999603629112244,0.0,0.0,0.008798206225037575,0.9999700784683228
model.layers.16.self_attn.o_proj,0.009379906579852104,0.9999299645423889,0.0,0.0,0.00857565738260746,0.9999712705612183
model.layers.17.self_attn.q_proj,0.006947144400328398,0.9999973773956299,0.0,0.0,0.005998341366648674,0.9999830722808838
model.layers.17.self_attn.k_proj,0.006225559860467911,0.9999765157699585,0.0,0.0,0.005083777476102114,0.9999874234199524
model.layers.17.self_attn.v_proj,0.007711992133408785,0.9999649524688721,0.0,0.0,0.006526561453938484,0.9999787211418152
model.layers.17.self_attn.o_proj,0.008366116322577,0.9999293088912964,0.0,0.0,0.007490556687116623,0.9999735951423645
model.layers.18.self_attn.q_proj,0.00867113284766674,0.9999403357505798,0.0,0.0,0.007752527017146349,0.999970555305481
model.layers.18.self_attn.k_proj,0.007079720497131348,0.9999738335609436,0.0,0.0,0.005983965005725622,0.9999828338623047
model.layers.18.self_attn.v_proj,0.008686818182468414,0.9999635219573975,0.0,0.0,0.00826525129377842,0.9999676942825317
model.layers.18.self_attn.o_proj,0.007238300982862711,0.9999268651008606,0.0,0.0,0.006241487804800272,0.999981164932251
model.layers.19.self_attn.q_proj,0.007573679089546204,0.9999895691871643,0.0,0.0,0.0063355159945786,0.9999814033508301
model.layers.19.self_attn.k_proj,0.007545447908341885,0.999966561794281,0.0,0.0,0.006803710944950581,0.9999774098396301
model.layers.19.self_attn.v_proj,0.008450563997030258,0.9999684691429138,0.0,0.0,0.007471579127013683,0.9999786615371704
model.layers.19.self_attn.o_proj,0.007160237058997154,0.999927282333374,0.0,0.0,0.006268175784498453,0.9999822378158569
model.layers.20.self_attn.q_proj,0.00683155283331871,1.0000215768814087,0.0,0.0,0.0057769655250012875,0.9999838471412659
model.layers.20.self_attn.k_proj,0.007138191256672144,0.9999756813049316,0.0,0.0,0.0062908511608839035,0.9999833106994629
model.layers.20.self_attn.v_proj,0.007694203406572342,0.9999678134918213,0.0,0.0,0.007086360361427069,0.9999750852584839
model.layers.20.self_attn.o_proj,0.008161257021129131,0.9999337196350098,0.0,0.0,0.007249744143337011,0.9999749660491943
model.layers.21.self_attn.q_proj,0.006756435614079237,1.0000702142715454,0.0,0.0,0.005350930616259575,0.9999904632568359
model.layers.21.self_attn.k_proj,0.007323312573134899,0.9999741911888123,0.0,0.0,0.006291964557021856,0.9999812841415405
model.layers.21.self_attn.v_proj,0.008224926888942719,0.9999628663063049,0.0,0.0,0.007439454551786184,0.9999724626541138
model.layers.21.self_attn.o_proj,0.007992544211447239,0.9999412894248962,0.0,0.0,0.00691769877448678,0.9999805688858032
model.layers.22.self_attn.q_proj,0.006021315231919289,1.000023603439331,0.0,0.0,0.004690917208790779,0.99998939037323
model.layers.22.self_attn.k_proj,0.006419562269002199,0.9999760389328003,0.0,0.0,0.005227828864008188,0.9999875426292419
model.layers.22.self_attn.v_proj,0.008946286514401436,0.9999564290046692,0.0,0.0,0.008339428342878819,0.999966025352478
model.layers.22.self_attn.o_proj,0.006402033381164074,0.9999484419822693,0.0,0.0,0.0052941832691431046,0.9999879002571106
model.layers.23.self_attn.q_proj,0.005601848009973764,1.0000091791152954,0.0,0.0,0.004082036204636097,0.9999929666519165
model.layers.23.self_attn.k_proj,0.006449270993471146,0.9999803304672241,0.0,0.0,0.005223759450018406,0.9999868273735046
model.layers.23.self_attn.v_proj,0.007712997030466795,0.9999640583992004,0.0,0.0,0.0067431083880364895,0.9999775886535645
model.layers.23.self_attn.o_proj,0.006295736413449049,0.9999415874481201,0.0,0.0,0.0049649737775325775,0.9999894499778748
