category,name,device,dtype,shape,on_cpu,allowed_cpu_reason
base_weight,L7.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L7.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L7.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L8.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L8.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L8.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L8.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L8.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L8.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L8.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L8.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L8.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L8.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L9.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L9.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L9.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L9.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L9.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L9.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L9.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L9.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L9.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L9.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L10.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L10.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L10.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L10.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L10.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L10.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L10.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L10.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L10.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L10.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L11.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L11.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L11.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L11.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L11.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L11.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L11.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L11.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L11.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L11.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L12.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L12.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L12.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L12.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L12.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L12.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L12.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L12.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L12.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L12.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L13.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L13.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L13.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L13.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L13.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L13.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L13.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L13.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L13.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L13.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L14.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L14.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L14.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L14.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L14.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L14.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L14.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L14.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L14.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L14.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L15.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L15.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L15.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L15.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L15.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L15.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L15.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L15.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L15.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L15.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L16.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L16.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L16.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L16.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L16.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L16.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L16.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L16.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L16.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L16.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L17.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L17.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L17.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L17.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L17.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L17.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L17.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L17.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L17.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L17.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L18.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L18.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L18.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L18.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L18.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L18.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L18.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L18.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L18.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L18.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L19.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L19.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L19.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L19.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L19.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L19.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L19.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L19.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L19.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L19.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L20.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L20.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L20.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L20.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L20.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L20.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L20.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L20.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L20.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L20.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L21.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L21.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L21.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L21.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L21.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L21.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L21.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L21.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L21.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L21.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L22.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L22.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L22.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L22.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L22.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L22.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L22.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L22.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L22.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L22.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
base_weight,L23.q_proj.w,cuda:0,torch.bfloat16,896x896,False,
base_weight,L23.k_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L23.v_proj.w,cuda:0,torch.bfloat16,128x896,False,
base_weight,L23.o_proj.w,cuda:0,torch.bfloat16,896x896,False,
bias,L23.q_proj.b,cuda:0,torch.bfloat16,896,False,
bias,L23.k_proj.b,cuda:0,torch.bfloat16,128,False,
bias,L23.v_proj.b,cuda:0,torch.bfloat16,128,False,
base_weight,L23.gate_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L23.up_proj.w,cuda:0,torch.bfloat16,4864x896,False,
base_weight,L23.down_proj.w,cuda:0,torch.bfloat16,896x4864,False,
lora_A,L0.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L0.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L0.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L0.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L0.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L0.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L0.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L0.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L0.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L1.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L1.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L1.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L1.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L1.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L1.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L1.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L1.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L1.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L2.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L2.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L2.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L2.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L2.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L2.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L2.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L2.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L2.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L3.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L3.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L3.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L3.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L3.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L3.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L3.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L3.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L3.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L4.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L4.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L4.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L4.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L4.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L4.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L4.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L4.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L4.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L5.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L5.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L5.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L5.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L5.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L5.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L5.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L5.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L5.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L6.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L6.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L6.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L6.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L6.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L6.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L6.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L6.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L6.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L7.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L7.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L7.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L7.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L7.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L7.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L7.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L7.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L7.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L8.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L8.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L8.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L8.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L8.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L8.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L8.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L8.down_proj.A,cuda:0,torch.bfloat16,8x4864,False,
lora_B,L8.down_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L9.q_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.q_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L9.k_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.k_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L9.v_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.v_proj.B,cuda:0,torch.bfloat16,128x8,False,
lora_A,L9.o_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.o_proj.B,cuda:0,torch.bfloat16,896x8,False,
lora_A,L9.gate_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.gate_proj.B,cuda:0,torch.bfloat16,4864x8,False,
lora_A,L9.up_proj.A,cuda:0,torch.bfloat16,8x896,False,
lora_B,L9.up_proj.B,cuda:0,torch.bfloat16,4864x8,False,
