section,key,metric,value
boundary_leakage_accounting,obfuscated_kv_cache,visibility,gpu_visible
boundary_leakage_accounting,obfuscated_encoder_memory_cache,visibility,gpu_visible
boundary_leakage_accounting,obfuscated_logits,visibility,gpu_visible
boundary_leakage_accounting,plaintext_input,visibility,trusted_only
boundary_leakage_accounting,plaintext_hidden_state,visibility,trusted_only
boundary_leakage_accounting,plaintext_logits,visibility,trusted_only
boundary_leakage_accounting,sampling_result,visibility,trusted_only
boundary_leakage_accounting,masks,visibility,trusted_only
boundary_leakage_accounting,mask_inverses,visibility,trusted_only
boundary_leakage_accounting,pads,visibility,trusted_only
boundary_leakage_accounting,plaintext_lora_adapter,visibility,trusted_only
boundary_leakage_accounting,optimizer_state,visibility,trusted_only
cache_leakage_proxy/kv_cache,plain_to_plain_baseline,top1_match_rate,1.0
cache_leakage_proxy/kv_cache,plain_to_plain_baseline,mean_correct_rank,0.0
cache_leakage_proxy/kv_cache,plain_to_plain_baseline,mean_cosine_correct_pair,1.0
cache_leakage_proxy/kv_cache,plain_to_plain_baseline,mean_cosine_best_wrong_pair,0.3696742071124066
cache_leakage_proxy/kv_cache,obfuscated_to_plain,top1_match_rate,0.001953125
cache_leakage_proxy/kv_cache,obfuscated_to_plain,mean_correct_rank,286.150390625
cache_leakage_proxy/kv_cache,obfuscated_to_plain,mean_cosine_correct_pair,-0.02514727138424796
cache_leakage_proxy/kv_cache,obfuscated_to_plain,mean_cosine_best_wrong_pair,0.3700440242232851
cache_leakage_proxy/kv_cache,obfuscated_to_plain_v,top1_match_rate,0.005859375
cache_leakage_proxy/kv_cache,obfuscated_to_plain_v,mean_correct_rank,224.279296875
cache_leakage_proxy/kv_cache,obfuscated_to_plain_v,mean_cosine_correct_pair,0.027117785962379147
cache_leakage_proxy/kv_cache,obfuscated_to_plain_v,mean_cosine_best_wrong_pair,0.36957561766068625
cache_leakage_proxy/encoder_memory_cache,plain_to_plain_baseline,top1_match_rate,1.0
cache_leakage_proxy/encoder_memory_cache,plain_to_plain_baseline,mean_correct_rank,0.0
cache_leakage_proxy/encoder_memory_cache,plain_to_plain_baseline,mean_cosine_correct_pair,1.0
cache_leakage_proxy/encoder_memory_cache,plain_to_plain_baseline,mean_cosine_best_wrong_pair,0.3713268959876357
cache_leakage_proxy/encoder_memory_cache,obfuscated_to_plain,top1_match_rate,0.00390625
cache_leakage_proxy/encoder_memory_cache,obfuscated_to_plain,mean_correct_rank,238.388671875
cache_leakage_proxy/encoder_memory_cache,obfuscated_to_plain,mean_cosine_correct_pair,0.015096842455667666
cache_leakage_proxy/encoder_memory_cache,obfuscated_to_plain,mean_cosine_best_wrong_pair,0.37185192822007396
