section,strategy,metric,value,notes
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.mean_pairwise_cosine,0.02457349694730232,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.max_pairwise_cosine,0.13215816936135052,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.min_pairwise_cosine,-0.07868166836450505,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.mean_pairwise_l2,43.92492448581796,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.max_pairwise_l2,46.19975782910053,low on both views
island_linkability,fresh_perm_with_linear_boundary_pad,activation_input_visible.min_pairwise_l2,41.439388658869056,low on both views
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.mean_pairwise_cosine,0.003852468150874787,lowest
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.max_pairwise_cosine,0.08505701825136243,lowest
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.min_pairwise_cosine,-0.0876758008882843,lowest
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.mean_pairwise_l2,44.38934989628797,lowest
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.max_pairwise_l2,46.39196699823665,lowest
island_linkability,dense_to_perm_to_dense_sandwich,pre_island_dense_visible.min_pairwise_l2,42.549069508719064,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.mean_pairwise_cosine,0.02131374933246675,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.max_pairwise_cosine,0.1454221855312893,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.min_pairwise_cosine,-0.0703839482270202,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.mean_pairwise_l2,43.99982051990723,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.max_pairwise_l2,46.02171978827833,lowest
island_linkability,dense_to_perm_to_dense_sandwich,island_visible.min_pairwise_l2,41.1214913663609,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.mean_pairwise_cosine,0.002078614483503677,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.max_pairwise_cosine,0.10950041782742834,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.min_pairwise_cosine,-0.057311207977378695,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.mean_pairwise_l2,44.4302697669045,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.max_pairwise_l2,45.73982076562438,lowest
island_linkability,dense_to_perm_to_dense_sandwich,post_island_dense_visible.min_pairwise_l2,41.97685510514999,lowest
mask_family_accounting,dense_invertible,used_for,Linear / Attention / KV cache boundaries,
mask_family_accounting,dense_invertible,correctness_role,right-multiply mask for arbitrary invertible linear ops,
mask_family_accounting,dense_invertible,preserved_statistics,"rank, dimension, algebraic relations under same mask",
mask_family_accounting,dense_invertible,gpu_visible_leakage,channel identity hidden via dense mixing; algebraic structure preserved only under reuse,
mask_family_accounting,dense_invertible,mitigation,fresh mask across sessions; pad at Linear boundaries,
mask_family_accounting,dense_invertible,security_strength_relative_to_dense,baseline (this IS dense),
mask_family_accounting,dense_invertible,notes,Strongest of the listed families; the reference against which the others are compared.,
mask_family_accounting,orthogonal,used_for,RMSNorm core,
mask_family_accounting,orthogonal,correctness_role,commutes with rms(.) and right-rotates the normalised state,
mask_family_accounting,orthogonal,preserved_statistics,row L2 norm (||X N||_2 = ||X||_2); pairwise dot products if the same mask is reused,
mask_family_accounting,orthogonal,gpu_visible_leakage,row L2 norm preserved by design; coordinate identity hidden under rotation,
mask_family_accounting,orthogonal,mitigation,restrict island lifetime; sandwich with dense masks at Linear boundaries,
mask_family_accounting,orthogonal,security_strength_relative_to_dense,weaker (row L2 norm always preserved),
mask_family_accounting,orthogonal,notes,Designed to preserve rms; an attacker observing many samples can always read row norms.,
mask_family_accounting,mean_preserving_orthogonal,used_for,LayerNorm core,
mask_family_accounting,mean_preserving_orthogonal,correctness_role,commutes with LayerNorm core (mean + centered variance preserved),
mask_family_accounting,mean_preserving_orthogonal,preserved_statistics,row mean (X N · 1 = X · 1); row centered L2 norm,
mask_family_accounting,mean_preserving_orthogonal,gpu_visible_leakage,row mean and centered norm preserved by design,
mask_family_accounting,mean_preserving_orthogonal,mitigation,sandwich with dense masks at Linear boundaries; avoid reuse across sessions,
mask_family_accounting,mean_preserving_orthogonal,security_strength_relative_to_dense,weaker (mean + centered norm always preserved),
mask_family_accounting,mean_preserving_orthogonal,notes,Strict subset of orthogonal masks: also preserves the all-ones direction.,
mask_family_accounting,permutation,used_for,GELU / ReLU / SiLU activation island,
mask_family_accounting,permutation,correctness_role,commutes exactly with element-wise activations: f(X P) = f(X) P,
mask_family_accounting,permutation,preserved_statistics,coordinate-value multiset; per-token sorted values,
mask_family_accounting,permutation,gpu_visible_leakage,channel identity hidden if P is secret; multiset always leaks,
mask_family_accounting,permutation,mitigation,fresh permutation per session; permutation pool; dense sandwich at Linear boundaries,
mask_family_accounting,permutation,security_strength_relative_to_dense,weaker (multiset and sorted values always preserved),
mask_family_accounting,permutation,notes,Permutation islands hide channel identity but do not hide coordinate-value multisets.,
mask_family_accounting,paired_permutation,used_for,SwiGLU up / gate branches (shared P),
mask_family_accounting,paired_permutation,correctness_role,commutes with SwiGLU when up and gate use the same P,
mask_family_accounting,paired_permutation,preserved_statistics,"coordinate-value multiset; paired (up, gate) alignment per channel",
mask_family_accounting,paired_permutation,gpu_visible_leakage,"same as permutation, plus paired alignment exposes that up and gate share P",
mask_family_accounting,paired_permutation,mitigation,fresh paired permutation; branch-consistency checks; dense sandwich,
mask_family_accounting,paired_permutation,security_strength_relative_to_dense,weaker (paired multiset always preserved),
mask_family_accounting,paired_permutation,notes,Inherits permutation leakage; the paired structure is an additional small leakage channel.,
