section,tensor_name,mitigation_bundle,attack,metric,value,notes
mlp_inverter,k,fresh_perm_only,mlp,mse,0.9665317535400391,
mlp_inverter,k,fresh_perm_only,mlp,relative_l2_error,1.2409279346466064,
mlp_inverter,k,fresh_perm_only,mlp,cosine_similarity,-0.0028362893499433994,
linkability,k,fresh_perm_only,linkability,visible_vs_plain_cosine,0.015332397853961142,
linkability,k,fresh_perm_only,linkability,mean_pairwise_cosine_visible,-0.010898055759352652,
linkability,k,fresh_perm_only,linkability,mean_pairwise_l2_visible,4.404093312025908,
linkability,k,fresh_perm_only,linkability,mean_linkability_rank,262.421875,
decision,k,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,v,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,v,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,v,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,v,fresh_perm_only,linear,mse,0.7216082215309143,
linear_inverter,v,fresh_perm_only,linear,relative_l2_error,1.058295488357544,
linear_inverter,v,fresh_perm_only,linear,cosine_similarity,-0.0523446723818779,
mlp_inverter,v,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,v,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,v,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,v,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,v,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,v,fresh_perm_only,mlp,final_train_loss,0.29402339458465576,
mlp_inverter,v,fresh_perm_only,mlp,first_train_loss,0.6652879118919373,
mlp_inverter,v,fresh_perm_only,mlp,mse,1.048480749130249,
mlp_inverter,v,fresh_perm_only,mlp,relative_l2_error,1.275664210319519,
mlp_inverter,v,fresh_perm_only,mlp,cosine_similarity,-0.028359971940517426,
linkability,v,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.010384912399020906,
linkability,v,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.009977267377471087,
linkability,v,fresh_perm_only,linkability,mean_pairwise_l2_visible,4.398570882777021,
linkability,v,fresh_perm_only,linkability,mean_linkability_rank,282.6875,
decision,v,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,gate,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,gate,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,gate,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,gate,fresh_perm_only,linear,mse,1.0586981773376465,
linear_inverter,gate,fresh_perm_only,linear,relative_l2_error,1.2743675708770752,
linear_inverter,gate,fresh_perm_only,linear,cosine_similarity,0.024414382874965668,
mlp_inverter,gate,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,gate,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,gate,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,gate,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,gate,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,gate,fresh_perm_only,mlp,final_train_loss,0.05772886425256729,
mlp_inverter,gate,fresh_perm_only,mlp,first_train_loss,0.7086182832717896,
mlp_inverter,gate,fresh_perm_only,mlp,mse,1.371858835220337,
mlp_inverter,gate,fresh_perm_only,mlp,relative_l2_error,1.4506522417068481,
mlp_inverter,gate,fresh_perm_only,mlp,cosine_similarity,0.007193832192569971,
linkability,gate,fresh_perm_only,linkability,visible_vs_plain_cosine,0.006256313487832456,
linkability,gate,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.0005808790661280329,
linkability,gate,fresh_perm_only,linkability,mean_pairwise_l2_visible,12.929617995363035,
linkability,gate,fresh_perm_only,linkability,mean_linkability_rank,233.78125,
permutation_recovery,gate,fresh_perm_only,signature_matching,top1_recovery_rate,0.0,
permutation_recovery,gate,fresh_perm_only,signature_matching,top5_recovery_rate,0.0390625,
permutation_recovery,gate,fresh_perm_only,signature_matching,mean_correct_rank,63.609375,
permutation_recovery,gate,fresh_perm_only,signature_matching,mean_signature_error,0.028997789170335547,
permutation_recovery,gate,fresh_perm_only,soft_assignment,top1_recovery_rate,0.015625,
permutation_recovery,gate,fresh_perm_only,soft_assignment,top5_recovery_rate,0.0390625,
permutation_recovery,gate,fresh_perm_only,soft_assignment,mean_correct_rank,61.4296875,
permutation_recovery,gate,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,gate,fresh_perm_only,soft_assignment,temperature,0.05,
decision,gate,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,up,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,up,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,up,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,up,fresh_perm_only,linear,mse,1.0889476537704468,
linear_inverter,up,fresh_perm_only,linear,relative_l2_error,1.2794162034988403,
linear_inverter,up,fresh_perm_only,linear,cosine_similarity,0.030927130952477455,
mlp_inverter,up,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,up,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,up,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,up,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,up,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,up,fresh_perm_only,mlp,final_train_loss,0.053316280245780945,
mlp_inverter,up,fresh_perm_only,mlp,first_train_loss,0.7049664855003357,
mlp_inverter,up,fresh_perm_only,mlp,mse,1.378171682357788,
mlp_inverter,up,fresh_perm_only,mlp,relative_l2_error,1.4393303394317627,
mlp_inverter,up,fresh_perm_only,mlp,cosine_similarity,0.01674356311559677,
linkability,up,fresh_perm_only,linkability,visible_vs_plain_cosine,0.0005445186690507607,
linkability,up,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.0008223378820115962,
linkability,up,fresh_perm_only,linkability,mean_pairwise_l2_visible,12.979752066845199,
linkability,up,fresh_perm_only,linkability,mean_linkability_rank,234.234375,
permutation_recovery,up,fresh_perm_only,signature_matching,top1_recovery_rate,0.0,
permutation_recovery,up,fresh_perm_only,signature_matching,top5_recovery_rate,0.0390625,
permutation_recovery,up,fresh_perm_only,signature_matching,mean_correct_rank,62.5703125,
permutation_recovery,up,fresh_perm_only,signature_matching,mean_signature_error,0.02821092854438043,
permutation_recovery,up,fresh_perm_only,soft_assignment,top1_recovery_rate,0.015625,
permutation_recovery,up,fresh_perm_only,soft_assignment,top5_recovery_rate,0.0546875,
permutation_recovery,up,fresh_perm_only,soft_assignment,mean_correct_rank,62.9921875,
permutation_recovery,up,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,up,fresh_perm_only,soft_assignment,temperature,0.05,
decision,up,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,mse,0.25044485926628113,
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,relative_l2_error,1.266474723815918,
linear_inverter,swiglu_intermediate,fresh_perm_only,linear,cosine_similarity,0.0129664596170187,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,final_train_loss,0.03532100096344948,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,first_train_loss,0.15203362703323364,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,mse,0.3093445897102356,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,relative_l2_error,1.4075435400009155,
mlp_inverter,swiglu_intermediate,fresh_perm_only,mlp,cosine_similarity,0.024019885808229446,
linkability,swiglu_intermediate,fresh_perm_only,linkability,visible_vs_plain_cosine,0.009651687545415451,
linkability,swiglu_intermediate,fresh_perm_only,linkability,mean_pairwise_cosine_visible,-0.0009271871435956383,
linkability,swiglu_intermediate,fresh_perm_only,linkability,mean_pairwise_l2_visible,6.081942025493282,
linkability,swiglu_intermediate,fresh_perm_only,linkability,mean_linkability_rank,218.578125,
permutation_recovery,swiglu_intermediate,fresh_perm_only,signature_matching,top1_recovery_rate,0.0078125,
permutation_recovery,swiglu_intermediate,fresh_perm_only,signature_matching,top5_recovery_rate,0.0390625,
permutation_recovery,swiglu_intermediate,fresh_perm_only,signature_matching,mean_correct_rank,62.1484375,
permutation_recovery,swiglu_intermediate,fresh_perm_only,signature_matching,mean_signature_error,0.043780517222314935,
permutation_recovery,swiglu_intermediate,fresh_perm_only,soft_assignment,top1_recovery_rate,0.0234375,
permutation_recovery,swiglu_intermediate,fresh_perm_only,soft_assignment,top5_recovery_rate,0.046875,
permutation_recovery,swiglu_intermediate,fresh_perm_only,soft_assignment,mean_correct_rank,63.171875,
permutation_recovery,swiglu_intermediate,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,swiglu_intermediate,fresh_perm_only,soft_assignment,temperature,0.05,
decision,swiglu_intermediate,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,post_island,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,post_island,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,post_island,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,post_island,fresh_perm_only,linear,mse,0.24976685643196106,
linear_inverter,post_island,fresh_perm_only,linear,relative_l2_error,1.1250391006469727,
linear_inverter,post_island,fresh_perm_only,linear,cosine_similarity,0.0319971889257431,
mlp_inverter,post_island,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,post_island,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,post_island,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,post_island,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,post_island,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,post_island,fresh_perm_only,mlp,final_train_loss,0.03241916373372078,
mlp_inverter,post_island,fresh_perm_only,mlp,first_train_loss,0.19088777899742126,
mlp_inverter,post_island,fresh_perm_only,mlp,mse,0.37300679087638855,
mlp_inverter,post_island,fresh_perm_only,mlp,relative_l2_error,1.3748602867126465,
mlp_inverter,post_island,fresh_perm_only,mlp,cosine_similarity,0.03173402324318886,
linkability,post_island,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.00045861641400873096,
linkability,post_island,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.0020536357779990344,
linkability,post_island,fresh_perm_only,linkability,mean_pairwise_l2_visible,4.788216886434814,
linkability,post_island,fresh_perm_only,linkability,mean_linkability_rank,241.1875,
decision,post_island,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,final,fresh_perm_only,linear,num_train_samples,358,
linear_inverter,final,fresh_perm_only,linear,num_test_samples,154,
linear_inverter,final,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,final,fresh_perm_only,linear,mse,1.7236090898513794,
linear_inverter,final,fresh_perm_only,linear,relative_l2_error,1.1219615936279297,
linear_inverter,final,fresh_perm_only,linear,cosine_similarity,0.0056223380379378796,
mlp_inverter,final,fresh_perm_only,mlp,num_train_samples,358,
mlp_inverter,final,fresh_perm_only,mlp,num_test_samples,154,
mlp_inverter,final,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,final,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,final,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,final,fresh_perm_only,mlp,final_train_loss,0.3397347927093506,
mlp_inverter,final,fresh_perm_only,mlp,first_train_loss,1.4155488014221191,
mlp_inverter,final,fresh_perm_only,mlp,mse,2.729037284851074,
mlp_inverter,final,fresh_perm_only,mlp,relative_l2_error,1.4117684364318848,
mlp_inverter,final,fresh_perm_only,mlp,cosine_similarity,0.007864953950047493,
linkability,final,fresh_perm_only,linkability,visible_vs_plain_cosine,0.004183677642215295,
linkability,final,fresh_perm_only,linkability,mean_pairwise_cosine_visible,-0.0036634421378218284,
linkability,final,fresh_perm_only,linkability,mean_pairwise_l2_visible,13.154947881025334,
linkability,final,fresh_perm_only,linkability,mean_linkability_rank,270.265625,
decision,final,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,num_train_samples,358,
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,num_test_samples,154,
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,ridge_lambda,0.001,
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,mse,1.2698277235031128,
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,relative_l2_error,1.119232416152954,
linear_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,linear,cosine_similarity,0.00862202513962984,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,num_train_samples,358,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,num_test_samples,154,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_steps,200,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_lr,0.01,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,mlp_hidden_size,128,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,final_train_loss,0.26485687494277954,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,first_train_loss,1.063689112663269,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,mse,2.0193216800689697,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,relative_l2_error,1.4114022254943848,
mlp_inverter,boundary_input,fresh_perm_plus_sandwich_plus_pad,mlp,cosine_similarity,-0.002416744362562895,
linkability,boundary_input,fresh_perm_plus_sandwich_plus_pad,linkability,visible_vs_plain_cosine,0.0009919794954399222,
linkability,boundary_input,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_cosine_visible,-0.004196748265236002,
linkability,boundary_input,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_l2_visible,11.344542157443462,
linkability,boundary_input,fresh_perm_plus_sandwich_plus_pad,linkability,mean_linkability_rank,277.171875,
decision,boundary_input,fresh_perm_plus_sandwich_plus_pad,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,num_train_samples,358,
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,num_test_samples,154,
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,ridge_lambda,0.001,
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,mse,0.7048598527908325,
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,relative_l2_error,1.0456103086471558,
linear_inverter,q,fresh_perm_plus_sandwich_plus_pad,linear,cosine_similarity,0.04567723721265793,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,num_train_samples,358,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,num_test_samples,154,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_steps,200,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_lr,0.01,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,mlp_hidden_size,128,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,final_train_loss,0.31177833676338196,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,first_train_loss,0.6943635940551758,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,mse,0.9966696500778198,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,relative_l2_error,1.2433518171310425,
mlp_inverter,q,fresh_perm_plus_sandwich_plus_pad,mlp,cosine_similarity,0.006818222813308239,
linkability,q,fresh_perm_plus_sandwich_plus_pad,linkability,visible_vs_plain_cosine,-0.0021049800746825347,
linkability,q,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_cosine_visible,-0.015424790782193802,
linkability,q,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_l2_visible,4.5182326945272155,
linkability,q,fresh_perm_plus_sandwich_plus_pad,linkability,mean_linkability_rank,229.03125,
decision,q,fresh_perm_plus_sandwich_plus_pad,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,num_train_samples,358,
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,num_test_samples,154,
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,ridge_lambda,0.001,
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,mse,0.6796026229858398,
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,relative_l2_error,1.0405572652816772,
linear_inverter,k,fresh_perm_plus_sandwich_plus_pad,linear,cosine_similarity,0.020596133545041084,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,num_train_samples,358,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,num_test_samples,154,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_steps,200,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_lr,0.01,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,mlp_hidden_size,128,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,final_train_loss,0.27903589606285095,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,first_train_loss,0.7011727690696716,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,mse,0.9498398303985596,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,relative_l2_error,1.2301658391952515,
mlp_inverter,k,fresh_perm_plus_sandwich_plus_pad,mlp,cosine_similarity,0.023389238864183426,
linkability,k,fresh_perm_plus_sandwich_plus_pad,linkability,visible_vs_plain_cosine,0.015332397853961142,
linkability,k,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_cosine_visible,-0.010898055759352652,
linkability,k,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_l2_visible,4.404093312025908,
linkability,k,fresh_perm_plus_sandwich_plus_pad,linkability,mean_linkability_rank,262.421875,
decision,k,fresh_perm_plus_sandwich_plus_pad,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,num_train_samples,358,
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,num_test_samples,154,
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,ridge_lambda,0.001,
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,mse,0.7216082215309143,
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,relative_l2_error,1.058295488357544,
linear_inverter,v,fresh_perm_plus_sandwich_plus_pad,linear,cosine_similarity,-0.0523446723818779,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,num_train_samples,358,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,num_test_samples,154,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_steps,200,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_lr,0.01,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,mlp_hidden_size,128,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,final_train_loss,0.2662230134010315,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,first_train_loss,0.6156607866287231,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,mse,1.054429054260254,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,relative_l2_error,1.2792775630950928,
mlp_inverter,v,fresh_perm_plus_sandwich_plus_pad,mlp,cosine_similarity,-0.03481975197792053,
linkability,v,fresh_perm_plus_sandwich_plus_pad,linkability,visible_vs_plain_cosine,-0.010384912399020906,
linkability,v,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_cosine_visible,0.009977267377471087,
linkability,v,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_l2_visible,4.398570882777021,
linkability,v,fresh_perm_plus_sandwich_plus_pad,linkability,mean_linkability_rank,282.6875,
decision,v,fresh_perm_plus_sandwich_plus_pad,summary,risk_level,low,acceptable_with_mitigation
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,num_train_samples,358,
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,num_test_samples,154,
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,ridge_lambda,0.001,
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,mse,1.0586981773376465,
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,relative_l2_error,1.2743675708770752,
linear_inverter,gate,fresh_perm_plus_sandwich_plus_pad,linear,cosine_similarity,0.024414382874965668,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,num_train_samples,358,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,num_test_samples,154,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_steps,200,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,attacker_lr,0.01,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,mlp_hidden_size,128,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,final_train_loss,0.061649858951568604,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,first_train_loss,0.6864519119262695,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,mse,1.3346261978149414,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,relative_l2_error,1.4308310747146606,
mlp_inverter,gate,fresh_perm_plus_sandwich_plus_pad,mlp,cosine_similarity,0.024294737726449966,
linkability,gate,fresh_perm_plus_sandwich_plus_pad,linkability,visible_vs_plain_cosine,0.006256313487832456,
linkability,gate,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_cosine_visible,0.0005808790661280329,
linkability,gate,fresh_perm_plus_sandwich_plus_pad,linkability,mean_pairwise_l2_visible,12.929617995363035,
linkability,gate,fresh_perm_plus_sandwich_plus_pad,linkability,mean_linkability_rank,233.78125,
permutation_recovery,gate,fresh_perm_plus_sandwich_plus_pad,signature_matching,top1_recovery_rate,0.0,
permutation_recovery,gate,fresh_perm_plus_sandwich_plus_pad,signature_matching,top5_recovery_rate,0.0390625,
permutation_recovery,gate,fresh_perm_plus_sandwich_plus_pad,signature_matching,mean_correct_rank,63.609375,
