section,scope,tensor_name,mitigation_bundle,attack,metric,value,notes
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,mse,0.12439155578613281,
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,relative_l2_error,2.1047592163085938,
linear_inverter,prefill,swiglu_intermediate,fresh_perm_only,linear,cosine_similarity,-0.052661750465631485,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,final_train_loss,3.877743074554019e-05,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,first_train_loss,0.04254346340894699,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,mse,0.042221371084451675,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,relative_l2_error,1.2262333631515503,
mlp_inverter,prefill,swiglu_intermediate,fresh_perm_only,mlp,cosine_similarity,0.03592433035373688,
linkability,prefill,swiglu_intermediate,fresh_perm_only,linkability,visible_vs_plain_cosine,0.03333062352422307,
linkability,prefill,swiglu_intermediate,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.030023335034455246,
linkability,prefill,swiglu_intermediate,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.0038837950993074,
linkability,prefill,swiglu_intermediate,fresh_perm_only,linkability,mean_linkability_rank,45.640625,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,signature_matching,top1_recovery_rate,0.03125,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,signature_matching,top5_recovery_rate,0.078125,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,signature_matching,mean_correct_rank,35.609375,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,signature_matching,mean_signature_error,0.1183192806089417,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,soft_assignment,top1_recovery_rate,0.015625,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,soft_assignment,top5_recovery_rate,0.078125,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,soft_assignment,mean_correct_rank,35.734375,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,soft_assignment,iterations,50,
permutation_recovery,prefill,swiglu_intermediate,fresh_perm_only,soft_assignment,temperature,0.05,
decision,prefill,swiglu_intermediate,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,post_island,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,post_island,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,prefill,post_island,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,post_island,fresh_perm_only,linear,mse,0.03995479643344879,
linear_inverter,prefill,post_island,fresh_perm_only,linear,relative_l2_error,1.423769235610962,
linear_inverter,prefill,post_island,fresh_perm_only,linear,cosine_similarity,0.004479958675801754,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,final_train_loss,9.912029781844467e-05,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,first_train_loss,0.028435729444026947,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,mse,0.0288108978420496,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,relative_l2_error,1.2090202569961548,
mlp_inverter,prefill,post_island,fresh_perm_only,mlp,cosine_similarity,0.11183881014585495,
linkability,prefill,post_island,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.0383572782039262,
linkability,prefill,post_island,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.02046885065181564,
linkability,prefill,post_island,fresh_perm_only,linkability,mean_pairwise_l2_visible,1.1624244370597938,
linkability,prefill,post_island,fresh_perm_only,linkability,mean_linkability_rank,66.078125,
decision,prefill,post_island,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,prefill,final,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,prefill,final,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,prefill,final,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,prefill,final,fresh_perm_only,linear,mse,0.2788797616958618,
linear_inverter,prefill,final,fresh_perm_only,linear,relative_l2_error,1.622894287109375,
linear_inverter,prefill,final,fresh_perm_only,linear,cosine_similarity,-0.043842922896146774,
mlp_inverter,prefill,final,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,prefill,final,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,prefill,final,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,prefill,final,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,prefill,final,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,prefill,final,fresh_perm_only,mlp,final_train_loss,0.000278019200777635,
mlp_inverter,prefill,final,fresh_perm_only,mlp,first_train_loss,0.12120838463306427,
mlp_inverter,prefill,final,fresh_perm_only,mlp,mse,0.18949012458324432,
mlp_inverter,prefill,final,fresh_perm_only,mlp,relative_l2_error,1.33774995803833,
mlp_inverter,prefill,final,fresh_perm_only,mlp,cosine_similarity,0.04706279933452606,
linkability,prefill,final,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.03569189125621877,
linkability,prefill,final,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.10023987173909092,
linkability,prefill,final,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.460608346434316,
linkability,prefill,final,fresh_perm_only,linkability,mean_linkability_rank,56.828125,
decision,prefill,final,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,decode,boundary_input,fresh_perm_only,linear,num_train_samples,22,
linear_inverter,decode,boundary_input,fresh_perm_only,linear,num_test_samples,10,
linear_inverter,decode,boundary_input,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,decode,boundary_input,fresh_perm_only,linear,mse,0.04502221569418907,
linear_inverter,decode,boundary_input,fresh_perm_only,linear,relative_l2_error,1.4481388330459595,
linear_inverter,decode,boundary_input,fresh_perm_only,linear,cosine_similarity,0.11841832101345062,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,num_train_samples,22,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,num_test_samples,10,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,final_train_loss,1.8119700371244107e-06,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,first_train_loss,0.023574309423565865,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,mse,0.02981206215918064,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,relative_l2_error,1.1784001588821411,
mlp_inverter,decode,boundary_input,fresh_perm_only,mlp,cosine_similarity,0.22613513469696045,
linkability,decode,boundary_input,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.08725448307991004,
linkability,decode,boundary_input,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.01060204091918105,
linkability,decode,boundary_input,fresh_perm_only,linkability,mean_pairwise_l2_visible,1.0192280010448787,
linkability,decode,boundary_input,fresh_perm_only,linkability,mean_linkability_rank,19.40625,
decision,decode,boundary_input,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,decode,q,fresh_perm_only,linear,num_train_samples,89,
linear_inverter,decode,q,fresh_perm_only,linear,num_test_samples,39,
linear_inverter,decode,q,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,decode,q,fresh_perm_only,linear,mse,0.3443407118320465,
linear_inverter,decode,q,fresh_perm_only,linear,relative_l2_error,1.0825605392456055,
linear_inverter,decode,q,fresh_perm_only,linear,cosine_similarity,0.03884483501315117,
mlp_inverter,decode,q,fresh_perm_only,mlp,num_train_samples,89,
mlp_inverter,decode,q,fresh_perm_only,mlp,num_test_samples,39,
mlp_inverter,decode,q,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,decode,q,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,decode,q,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,decode,q,fresh_perm_only,mlp,final_train_loss,0.011604662984609604,
mlp_inverter,decode,q,fresh_perm_only,mlp,first_train_loss,0.3216971158981323,
mlp_inverter,decode,q,fresh_perm_only,mlp,mse,0.6632389426231384,
mlp_inverter,decode,q,fresh_perm_only,mlp,relative_l2_error,1.5024256706237793,
mlp_inverter,decode,q,fresh_perm_only,mlp,cosine_similarity,-0.03157651796936989,
linkability,decode,q,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.036338784062542255,
linkability,decode,q,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.01786019010420022,
linkability,decode,q,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.1083704545250885,
linkability,decode,q,fresh_perm_only,linkability,mean_linkability_rank,68.015625,
decision,decode,q,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,decode,k,fresh_perm_only,linear,num_train_samples,44,
linear_inverter,decode,k,fresh_perm_only,linear,num_test_samples,20,
linear_inverter,decode,k,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,decode,k,fresh_perm_only,linear,mse,0.3637755513191223,
linear_inverter,decode,k,fresh_perm_only,linear,relative_l2_error,1.1091355085372925,
linear_inverter,decode,k,fresh_perm_only,linear,cosine_similarity,0.16189537942409515,
mlp_inverter,decode,k,fresh_perm_only,mlp,num_train_samples,44,
mlp_inverter,decode,k,fresh_perm_only,mlp,num_test_samples,20,
mlp_inverter,decode,k,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,decode,k,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,decode,k,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,decode,k,fresh_perm_only,mlp,final_train_loss,0.00048551923828199506,
mlp_inverter,decode,k,fresh_perm_only,mlp,first_train_loss,0.3001728057861328,
mlp_inverter,decode,k,fresh_perm_only,mlp,mse,0.49509745836257935,
mlp_inverter,decode,k,fresh_perm_only,mlp,relative_l2_error,1.2939372062683105,
mlp_inverter,decode,k,fresh_perm_only,mlp,cosine_similarity,0.1542075127363205,
linkability,decode,k,fresh_perm_only,linkability,visible_vs_plain_cosine,-0.0492792563774584,
linkability,decode,k,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.06257502306490395,
linkability,decode,k,fresh_perm_only,linkability,mean_pairwise_l2_visible,1.8664844267055498,
linkability,decode,k,fresh_perm_only,linkability,mean_linkability_rank,33.5625,
decision,decode,k,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,decode,v,fresh_perm_only,linear,num_train_samples,44,
linear_inverter,decode,v,fresh_perm_only,linear,num_test_samples,20,
linear_inverter,decode,v,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,decode,v,fresh_perm_only,linear,mse,0.41990289092063904,
linear_inverter,decode,v,fresh_perm_only,linear,relative_l2_error,1.242371678352356,
linear_inverter,decode,v,fresh_perm_only,linear,cosine_similarity,-0.0689365565776825,
mlp_inverter,decode,v,fresh_perm_only,mlp,num_train_samples,44,
mlp_inverter,decode,v,fresh_perm_only,mlp,num_test_samples,20,
mlp_inverter,decode,v,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,decode,v,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,decode,v,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,decode,v,fresh_perm_only,mlp,final_train_loss,0.0015659536002203822,
mlp_inverter,decode,v,fresh_perm_only,mlp,first_train_loss,0.34364983439445496,
mlp_inverter,decode,v,fresh_perm_only,mlp,mse,0.5473999977111816,
mlp_inverter,decode,v,fresh_perm_only,mlp,relative_l2_error,1.4185004234313965,
mlp_inverter,decode,v,fresh_perm_only,mlp,cosine_similarity,0.008404952473938465,
linkability,decode,v,fresh_perm_only,linkability,visible_vs_plain_cosine,0.009917029942045456,
linkability,decode,v,fresh_perm_only,linkability,mean_pairwise_cosine_visible,0.02184724741676059,
linkability,decode,v,fresh_perm_only,linkability,mean_pairwise_l2_visible,2.1830291518276135,
linkability,decode,v,fresh_perm_only,linkability,mean_linkability_rank,30.546875,
decision,decode,v,fresh_perm_only,summary,risk_level,low,acceptable_with_mitigation_under_real_token_proxy
linear_inverter,decode,gate,fresh_perm_only,linear,num_train_samples,22,
linear_inverter,decode,gate,fresh_perm_only,linear,num_test_samples,10,
linear_inverter,decode,gate,fresh_perm_only,linear,ridge_lambda,0.001,
linear_inverter,decode,gate,fresh_perm_only,linear,mse,0.36216676235198975,
linear_inverter,decode,gate,fresh_perm_only,linear,relative_l2_error,1.0979975461959839,
linear_inverter,decode,gate,fresh_perm_only,linear,cosine_similarity,0.2281389832496643,
mlp_inverter,decode,gate,fresh_perm_only,mlp,num_train_samples,22,
mlp_inverter,decode,gate,fresh_perm_only,mlp,num_test_samples,10,
mlp_inverter,decode,gate,fresh_perm_only,mlp,attacker_steps,200,
mlp_inverter,decode,gate,fresh_perm_only,mlp,attacker_lr,0.01,
mlp_inverter,decode,gate,fresh_perm_only,mlp,mlp_hidden_size,128,
mlp_inverter,decode,gate,fresh_perm_only,mlp,final_train_loss,0.001107468968257308,
mlp_inverter,decode,gate,fresh_perm_only,mlp,first_train_loss,0.348857581615448,
mlp_inverter,decode,gate,fresh_perm_only,mlp,mse,0.3973881006240845,
mlp_inverter,decode,gate,fresh_perm_only,mlp,relative_l2_error,1.150149941444397,
