section,attack,scope,metric,value,notes
timing,boundary_call_pattern,ours_current,per_forward_boundary_calls,9,L=2 formula: 4L + 1 = 9
timing,boundary_call_pattern,ours_compatible_nonlinear_islands,per_forward_boundary_calls,4,L=2 formula: L + 2 = 4
timing,boundary_call_pattern,tslp_trusted_nonlinear_baseline,per_forward_boundary_calls,8,L=2 formula: 3L + 2 = 8
inter_block,gap_analysis,model_level,current_plain_boundary_detected,1,
inter_block,gap_analysis,model_level,affected_tensor,boundary_input,inter_block_plain_recovered
inter_block,gap_analysis,model_level,affected_tensor,final,inter_block_plain_recovered
inter_block,gap_analysis,model_level,accounting_risk_level,medium,
inter_block,single_transition,synthetic,status,ok,
inter_block,single_transition,synthetic,rmsnorm_invariant_max_abs_error,4.76837158203125e-07,
inter_block,single_transition,synthetic,rmsnorm_invariant_allclose,True,
inter_block,single_transition,synthetic,q_projection_path_max_abs_error,5.7220458984375e-06,
inter_block,single_transition,synthetic,q_projection_path_allclose,True,
inter_block,single_transition,synthetic,residual_recovery_max_abs_error,4.172325134277344e-07,
inter_block,single_transition,synthetic,residual_recovery_allclose,True,
inter_block,single_transition,synthetic,probe_status,single_transition_probe_passed,
inter_block,experimental,model_level,masked_boundary_experimental_status,implemented_in_stage_5_6_extension,
inter_block_closure,summary,model_level,status,implemented,
inter_block_closure,summary,model_level,masked_boundary_experimental_status,implemented,
inter_block_closure,boundary_input_before,prefill,present,True,
inter_block_closure,boundary_input_before,prefill,risk_level,high,
inter_block_closure,boundary_input_before,prefill,inter_block_plain,True,
inter_block_closure,boundary_input_before,prefill,linear_rel_l2,0.031278569251298904,
inter_block_closure,boundary_input_before,prefill,linkability_cosine,1.0,
inter_block_closure,boundary_input_after,prefill,present,True,
inter_block_closure,boundary_input_after,prefill,risk_level,low,
inter_block_closure,boundary_input_after,prefill,inter_block_plain,False,
inter_block_closure,boundary_input_after,prefill,linear_rel_l2,1.903993010520935,
inter_block_closure,boundary_input_after,prefill,linkability_cosine,-0.014479949893547374,
inter_block_closure,final_before,prefill,present,True,
inter_block_closure,final_before,prefill,risk_level,high,
inter_block_closure,final_before,prefill,inter_block_plain,True,
inter_block_closure,final_before,prefill,linear_rel_l2,0.013238905929028988,
inter_block_closure,final_before,prefill,linkability_cosine,1.0,
inter_block_closure,final_after,prefill,present,True,
inter_block_closure,final_after,prefill,risk_level,low,
inter_block_closure,final_after,prefill,inter_block_plain,False,
inter_block_closure,final_after,prefill,linear_rel_l2,1.6114264726638794,
inter_block_closure,final_after,prefill,linkability_cosine,0.01996654555400234,
constant_time_decode,summary,decode_step,mode,proxy_equalized,
constant_time_decode,summary,decode_step,decode_step_accuracy_before,0.7486979166666666,
constant_time_decode,summary,decode_step,decode_step_accuracy_after,0.25390625,
constant_time_decode,summary,decode_step,correlation_latency_step_before,0.7899371356774512,
constant_time_decode,summary,decode_step,correlation_latency_step_after,-0.0002569897926834935,
constant_time_decode,summary,decode_step,risk_level_before,high,
constant_time_decode,summary,decode_step,risk_level_after,low,
constant_time_decode,summary,decode_step,overhead_ms_estimate,7.366718776457353,
constant_time_decode,summary,decode_step,limitation,"proxy only — no real sleep, no real wall-time. The equalisation upper bound is the maximum simulated latency across (prompt_length × decode_step) bins per method; a real deployment would calibrate this from a production timing budget.",
overall_risk_summary,summary,n/a,envelope_integrity_risk_level,low,
overall_risk_summary,summary,n/a,envelope_blackbox_risk_level,low,
overall_risk_summary,summary,n/a,envelope_timing_risk_level,low,
overall_risk_summary,summary,n/a,structural_leakage_risk_level,high,
overall_risk_summary,summary,n/a,structural_timing_risk_level,high,
overall_risk_summary,summary,n/a,structural_inter_block_risk_level,medium,
overall_risk_summary,summary,n/a,overall_risk_level,high,
overall_risk_summary,summary,n/a,security_profile_detail_with_stronger_attackers_eligibility,"yes — envelope-integrity risk is `low` (modes / bundles are statistically indistinguishable from API output AND from timing). Eligible to label `adaptive-blackbox-and-timing-proxy-evaluated, not formal`. Structural leakage (decode step, prompt length, inter-block plain boundary) is reported separately and is acknowledged as a known limitation of the current model wrapper, not a failure of the mitigation envelope.",
recommendation,summary,n/a,security_profile_detail_with_stronger_attackers,"adaptive-blackbox-and-timing-proxy-evaluated, not formal",
recommendation,summary,n/a,security_profile_detail_with_extended_proxy,"inter-block-and-constant-time-proxy-evaluated, not formal",
recommendation,summary,n/a,extended_proxy_eligibility,yes,
recommendation,summary,n/a,overall_recommendation,acceptable_with_mitigation_under_extended_proxy,
recommendation,summary,n/a,promotion_eligibility_note,"yes — envelope-integrity risk is `low` (modes / bundles are statistically indistinguishable from API output AND from timing). Eligible to label `adaptive-blackbox-and-timing-proxy-evaluated, not formal`. Structural leakage (decode step, prompt length, inter-block plain boundary) is reported separately and is acknowledged as a known limitation of the current model wrapper, not a failure of the mitigation envelope.",
recommendation,summary,n/a,inter_block_residual_masking_recommendation,Stage 5.6 extension wires masked_boundary_experimental into the model-wrapper prefill / decode_step / greedy generation path. Default remains plain_boundary; the experimental mode is opt-in via inter_block_mask_mode='masked_boundary_experimental'.,
recommendation,summary,n/a,constant_time_decode_recommendation,"constant_time_decode_mode='proxy_equalized' equalises per-step simulated latency to a per-method upper bound; PROXY ONLY (no sleep, no real wall-time change). Decode-step timing leakage is reduced under this proxy.",
recommendation,summary,n/a,inter_block_mask_mode_used,masked_boundary_experimental,
recommendation,summary,n/a,constant_time_decode_mode_used,proxy_equalized,
recommendation,summary,n/a,default_mode_unchanged,plain_boundary,
recommendation,summary,n/a,default_mitigation_bundle_unchanged,fresh_perm_only,
recommendation,summary,n/a,default_nonlinear_mode_unchanged,trusted,
recommendation,summary,n/a,default_constant_time_decode_mode_unchanged,off,
