section,case,dtype,max_abs_error,rel_error,solve_residual,pass,relation_holds
A1,permutation/8x16x12/bias=False,float32,3.5762786865234375e-07,1.161129006277406e-07,0.0,True,
A1,permutation/6x12x20/bias=True,float32,4.76837158203125e-07,8.291968356388679e-08,0.0,True,
A1,permutation/6x12x20/bias=False,float32,4.76837158203125e-07,8.230988868263012e-08,0.0,True,
A1,orthogonal/8x16x16/bias=True,float32,9.5367431640625e-07,2.1287263507474563e-07,1.6391277313232422e-07,True,
A1,orthogonal/8x16x16/bias=False,float32,5.960464477539062e-07,1.987543072345943e-07,2.384185791015625e-07,True,
A1,orthogonal/8x16x12/bias=True,float32,7.152557373046875e-07,1.5881418846674933e-07,2.682209014892578e-07,True,
A1,orthogonal/8x16x12/bias=False,float32,7.152557373046875e-07,2.568545482972695e-07,1.2852251529693604e-07,True,
A1,orthogonal/6x12x20/bias=True,float32,7.152557373046875e-07,1.4741571874310466e-07,1.7881393432617188e-07,True,
A1,orthogonal/6x12x20/bias=False,float32,6.258487701416016e-07,2.4511871288268594e-07,2.086162567138672e-07,True,
A1,positive_diagonal/8x16x16/bias=True,float32,1.430511474609375e-06,9.766937836275247e-08,5.960464477539063e-08,True,
A1,positive_diagonal/8x16x16/bias=False,float32,7.152557373046875e-07,1.1126584809062479e-07,5.960464477539063e-08,True,
A1,positive_diagonal/8x16x12/bias=True,float32,9.5367431640625e-07,9.749416562954138e-08,5.960464477539063e-08,True,
A1,positive_diagonal/8x16x12/bias=False,float32,4.76837158203125e-07,9.407003886963139e-08,2.9802322387695312e-08,True,
A1,positive_diagonal/6x12x20/bias=True,float32,7.152557373046875e-07,8.433131171159403e-08,5.960464477539063e-08,True,
A1,positive_diagonal/6x12x20/bias=False,float32,1.430511474609375e-06,1.2432748519586312e-07,5.960464477539063e-08,True,
A1,dense_gl/8x16x16/bias=True,float32,5.364418029785156e-07,3.242578259232687e-07,2.980232238769531e-07,True,
A1,dense_gl/8x16x16/bias=False,float32,1.0728836059570312e-06,4.6647363660667907e-07,4.172325134277344e-07,True,
A1,dense_gl/8x16x12/bias=True,float32,1.1920928955078125e-06,3.3659654263829e-07,3.2223761081695557e-07,True,
A1,dense_gl/8x16x12/bias=False,float32,1.8477439880371094e-06,6.474198812611576e-07,4.917383193969727e-07,True,
A1,dense_gl/6x12x20/bias=True,float32,9.5367431640625e-07,3.0046476240386255e-07,2.4028122425079346e-07,True,
A1,dense_gl/6x12x20/bias=False,float32,2.294778823852539e-06,6.499172400253883e-07,8.493661880493164e-07,True,
A2,h_q=4/h_kv=2,float64,2.4424906541753444e-15,,,True,
A2,h_q=4/h_kv=1,float64,2.456368441983159e-15,,,True,
A2,h_q=4/h_kv=2,float32,8.344650268554688e-07,,,True,
A3,batch=2/decode=4,float64,3.3306690738754696e-15,,,True,
A3,batch=1/decode=4,float64,1.7763568394002505e-15,,,True,
A3,batch=2/decode=4,float32,5.066394805908203e-07,,,True,
A4,gelu/permutation,float64,0.0,,,,True
A4,gelu/signed_permutation,float64,2.681450211701393,,,,False
A4,gelu/positive_diagonal,float64,0.1400273500238831,,,,False
A4,gelu/dense_orthogonal,float64,1.9613261217441016,,,,False
A4,gelu/dense_gl,float64,2.5516883674137194,,,,False
A4,silu/permutation,float64,0.0,,,,True
A4,silu/signed_permutation,float64,2.1391265905981145,,,,False
A4,silu/positive_diagonal,float64,0.19696663431518394,,,,False
A4,silu/dense_orthogonal,float64,1.7456095341444746,,,,False
A4,silu/dense_gl,float64,2.128901922096539,,,,False
A4,relu/permutation,float64,0.0,,,,True
A4,relu/signed_permutation,float64,3.5854895190890548,,,,False
A4,relu/positive_diagonal,float64,0.0,,,,True
A4,relu/dense_orthogonal,float64,2.0525057006434078,,,,False
A4,relu/dense_gl,float64,2.3661601615616537,,,,False
A4,tanh/permutation,float64,0.0,,,,True
A4,tanh/signed_permutation,float64,0.0,,,,True
A4,tanh/positive_diagonal,float64,2.0830509764411302,,,,False
A4,tanh/dense_orthogonal,float64,1.0048410238449428,,,,False
A4,tanh/dense_gl,float64,0.6355749111506741,,,,False
A5,gelu/autograd=True,float64,2.863909503720633e-15,,,True,
A5,gelu/autograd=False,float64,2.863909503720633e-15,,,True,
A5,silu/autograd=True,float64,2.600096588066313e-15,,,True,
A5,silu/autograd=False,float64,2.600096588066313e-15,,,True,
A5_stack,bias+residual+2layer,float64,7.271960811294775e-15,,,True,
A6,shared_perm_forward,float64,0.0,,,True,
A6,shared_perm_backward_gH,float64,0.0,,,True,
A6,mismatched_perm_forward_MUST_FAIL,float64,6.619802208452647,,,True,
A7,rmsnorm_core_permutation,float64,4.440892098500626e-16,,,True,
A7,rmsnorm_affine_gamma_reindexed,float64,4.440892098500626e-16,,,True,
A7,rmsnorm_dense_gl_MUST_FAIL,float64,1.2981029099475605,,,True,
A7,layernorm_core_permutation,float64,8.881784197001252e-16,,,True,
A7,layernorm_affine_reindexed,float64,1.7763568394002505e-15,,,True,
A7,layernorm_dense_gl_MUST_FAIL,float64,1.7914104094120957,,,True,
